tipo,se_conserva_o_crea,se_elimina,motivo,detalle
conservar_una,Percentatge de població de nacionalitat estrangera [2025],Distribució percentual de la població de nacionalitat estrangera [2025] || Encuesta demografica 2025 | Porcentaje de poblacion extranjera,Se conserva el porcentaje distrital directamente interpretable y comparable entre distritos; se eliminan versiones redundantes o con denominador menos claro.,
conservar_una,Padron 2025 extranjera | Africa [% extranjera],Distribució percentual de població de nacionalitat estrangera d'Àfrica [2025],Se prioriza la composición interna de la población extranjera del distrito frente a la distribución territorial del conjunto de la ciudad.,
conservar_una,Padron 2025 extranjera | America Sur [% extranjera],Distribució percentual de població de nacionalitat estrangera d'Amèrica del Sud [2025],Se conserva la cuota dentro de la población extranjera del distrito por ser más interpretable que la distribución de esa población a escala ciudad.,
conservar_una,Padron 2025 extranjera | Asia [% extranjera],"Distribució percentual de població de nacionalitat estrangera d'Àsia, Oceania o apàtrida [2025]",Se conserva la variable porcentual directamente comparable dentro de cada distrito y se elimina la versión de distribución territorial.,
conservar_una,Edat mitjana [2025],INE 2023 demograficos | Edad media de la población [distrito] || Encuesta demografica 2025 | Edad media [total],Se conserva la versión más reciente y coherente con el bloque principal de indicadores demográficos de 2025.,
conservar_una,Edat mitjana de les dones [2025],Encuesta demografica 2025 | Edad media [mujeres],Las dos columnas describen el mismo indicador con diferencias mínimas de redondeo; se mantiene la serie de 2025 ya integrada en el bloque principal.,
conservar_una,Edat mitjana dels homes [2025],Encuesta demografica 2025 | Edad media [hombres],Se mantiene una única versión del indicador masculino para evitar duplicidad fuente-rótulo con valores casi idénticos.,
conservar_una,Índex de sobrenvelliment [2025],Encuesta demografica 2025 | Indice de sobre-envejecimiento,"Se conserva una única versión del índice, priorizando la familia demográfica de 2025 ya utilizada en otras variables equivalentes.",
conservar_una,Índex demogràfic de dependència global [2025],Encuesta demografica 2025 | Indice demografico de dependencia,Se elimina la duplicidad interfuentes y se conserva la versión de 2025 coherente con el resto del bloque demográfico.,
conservar_una,Índex d'envelliment [2025],Encuesta demografica 2025 | Indice de envejecimiento,"Se compacta la dimensión envejecimiento en una sola columna, evitando dos medidas prácticamente equivalentes.",
conservar_una,Índex d'estructura de la població en edat activa [2025],Encuesta demografica 2025 | Indice de estructura de la poblacion activa,Se conserva la versión integrada en la serie de 2025 y se elimina la réplica de encuesta con diferencias menores.,
conservar_una,Encuesta demografica 2024 | Tasa bruta de natalidad,Naixements registrats al Padró [2024],Se prioriza la tasa frente al recuento absoluto porque permite comparar distritos sin arrastrar el efecto del tamaño poblacional.,
conservar_una,Taxa global de fecunditat registrada al Padró [2024],Encuesta demografica 2024 | Tasa general de fecundidad,Se conserva una sola tasa de fecundidad para evitar duplicación de la misma dimensión en 2024.,
conservar_una,Padron 2025 | Densidad poblacion [hab/km2],Densitat de població [2025],Se conserva la densidad con unidad explícita y coherente con la relación población-superficie ya presente en la tabla.,
conservar_una,Mediana de la renda per unitat de consum [2023],Mitjana de la renda per unitat de consum [2023],Se prioriza la mediana por ser más robusta frente a valores extremos y más representativa del nivel típico de renta.,
conservar_una,Renta consumo precios 2024 agua | Litros facturados por habitante y dia,Renta consumo precios 2024 agua | Facturacion [miles m3],"Se conserva el indicador normalizado por habitante, más comparable entre distritos que la facturación agregada.",
conservar_una,Renta consumo precios 2024 alumbrado publico | Consumo electrico [kWh],Renta consumo precios 2024 alumbrado publico | Facturacion [EUR],"Se prioriza la medida física de consumo frente a la facturación monetaria, más sensible a tarifas y menos comparable territorialmente.",
conservar_una,Renta consumo precios 2024 pasos inferiores | Potencia instalada total [kW],Renta consumo precios 2024 pasos inferiores | Halogenos metalicos puntos [n] || Renta consumo precios 2024 pasos inferiores | Otros puntos [n] || Renta consumo precios 2024 pasos inferiores | Halogenos metalicos potencia [kW] || Renta consumo precios 2024 pasos inferiores | Puntos alumbrado total [n] || Renta consumo precios 2024 pasos inferiores | Vapor sodio puntos [n] || Renta consumo precios 2024 pasos inferiores | Lamparas led potencia [kW] || Renta consumo precios 2024 pasos inferiores | Lamparas led puntos [n] || Renta consumo precios 2024 pasos inferiores | Vapor sodio potencia [kW] || Renta consumo precios 2024 pasos inferiores | Otros potencia [kW],"Se resume el bloque de pasos inferiores en una sola medida sintética de dotación lumínica, evitando desagregaciones tecnológicas muy finas.",
conservar_una,Renta consumo precios 2024 monumentos | Potencia instalada total [kW],Renta consumo precios 2024 monumentos | Halogenos metalicos puntos [n] || Renta consumo precios 2024 monumentos | Otros puntos [n] || Renta consumo precios 2024 monumentos | Halogenos metalicos potencia [kW] || Renta consumo precios 2024 monumentos | Puntos alumbrado total [n] || Renta consumo precios 2024 monumentos | Vapor mercurio potencia [kW] || Renta consumo precios 2024 monumentos | Vapor sodio puntos [n] || Renta consumo precios 2024 monumentos | Lamparas led potencia [kW] || Renta consumo precios 2024 monumentos | Vapor mercurio puntos [n] || Renta consumo precios 2024 monumentos | Lamparas led puntos [n] || Renta consumo precios 2024 monumentos | Vapor sodio potencia [kW] || Renta consumo precios 2024 monumentos | Otros potencia [kW],Se conserva la potencia instalada total como resumen del bloque de monumentos y se eliminan las desagregaciones por tecnología.,
conservar_una,Medio ambiente 2024 | Escombros contenedores total [n],Medio ambiente 2024 | Escombros contenedores enero [n] || Medio ambiente 2024 | Escombros contenedores febrero [n] || Medio ambiente 2024 | Escombros contenedores marzo [n] || Medio ambiente 2024 | Escombros contenedores abril [n] || Medio ambiente 2024 | Escombros contenedores mayo [n] || Medio ambiente 2024 | Escombros contenedores junio [n] || Medio ambiente 2024 | Escombros contenedores julio [n] || Medio ambiente 2024 | Escombros contenedores agosto [n] || Medio ambiente 2024 | Escombros contenedores septiembre [n] || Medio ambiente 2024 | Escombros contenedores octubre [n] || Medio ambiente 2024 | Escombros contenedores noviembre [n] || Medio ambiente 2024 | Escombros contenedores diciembre [n],Se conserva el total anual porque resume la presión del fenómeno sin sobrerrepresentar la dimensión temporal mediante doce columnas mensuales.,
conservar_una,Superficie zonas verdes [m2],Zonas verdes [n] || Zonas verdes CSV - superficie poligono [m2] || Zonas verdes CSV - superficie diciembre [m2],Se prioriza la superficie de zonas verdes como indicador más estable y comparable; se eliminan recuentos de polígonos y variantes de fuente muy cercanas.,
conservar_una,Arbolado [n],,Se mantiene porque aporta una dimensión distinta de infraestructura verde y no es reducible de forma limpia a la superficie de zonas verdes.,
conservar_una,Medio ambiente 2024 | Juegos infantiles zonas [n],Medio ambiente 2024 | Juegos infantiles elementos [n] || Medio ambiente 2024 | Juegos infantiles superficie [m2] || Zonas de juegos infantiles [n],Se conserva un único indicador general de disponibilidad de zonas de juego y se eliminan desagregaciones o duplicados de fuente.,
